playerID,yearID,votedBy,ballots,needed,votes,inducted,category,needed_note
fowlebu99,2022,Veterans,,,,Y,Pioneer/Executive,
hodgegi01,2022,Veterans,,,,Y,Player,
kaatji01,2022,Veterans,,,,Y,Player,
minosmi01,2022,Veterans,,,,Y,Player,
oneilbu01,2022,Veterans,,,,Y,Pioneer/Executive,
olivato01,2022,Veterans,,,,Y,Player,
millema99,2020,Veterans,,,,Y,Pioneer/Executive,
simmote01,2020,Veterans,,,,Y,Player,
baineha01,2019,Veterans,,,,Y,Player,
smithle02,2019,Veterans,,,,Y,Player,
ortizda01,2022,BBWAA,394,296,307,Y,Player,
jeterde01,2020,BBWAA,397,298,396,Y,Player,
walkela01,2020,BBWAA,397,298,304,Y,Player,
hallaro01,2019,BBWAA,425,319,363,Y,Player,
martied01,2019,BBWAA,425,319,363,Y,Player,
mussimi01,2019,BBWAA,425,319,326,Y,Player,
riverma01,2019,BBWAA,425,319,425,Y,Player,
